,h,b,s,r1,r2,a,j,j
50x25x2,5,2.5,0.2,0.2,0.4,2.74,8.38,2.8
50x25x2.5,5,2.5,0.25,0.25,0.5,3.34,9.89,3.28
50x25x3,5,2.5,0.3,0.3,0.6,3.91,11.17,3.65
50x25x3.5,5,2.5,0.35,0.35,0.7,4.45,12.25,3.98
50x25x4,5,2.5,0.4,0.4,0.8,4.95,13.12,4.23
50x30x2,5,3,0.2,0.2,0.4,2.94,9.53,4.29
50x30x2.5,5,3,0.25,0.25,0.5,3.59,11.29,5.04
50x30x3,5,3,0.3,0.3,0.6,4.21,12.82,5.68
50x30x3.5,5,3,0.35,0.35,0.7,4.79,14.13,6.22
50x30x4,5,3,0.4,0.4,0.8,5.35,15.24,6.66
50x30x5,5,3,0.5,0.5,1,6.36,16.87,7.33
50x40x2,5,4,0.2,0.2,0.4,3.34,11.84,8.39
50x40x2.5,5,4,0.25,0.25,0.5,4.09,14.12,9.98
50x40x3,5,4,0.3,0.3,0.6,4.81,16.15,11.38
50x40x3.5,5,4,0.35,0.35,0.7,5.50,17.94,12.61
50x40x4,5,4,0.4,0.4,0.8,6.15,19.49,13.68
50x40x4.5,5,4,0.45,0.45,0.9,6.77,20.83,14.55
50x40x5,5,4,0.5,0.5,1,7.36,21.95,15.34
60x30x2,6,3,0.2,0.2,0.4,3.34,15.04,5.07
60x30x2.5,6,3,0.25,0.25,0.5,4.09,17.93,5.99
60x30x3,6,3,0.3,0.3,0.6,4.81,20.49,6.78
60x30x3.5,6,3,0.35,0.35,0.7,5.49,22.74,7.45
60x30x4,6,3,0.4,0.4,0.8,6.15,24.70,8.05
60x30x4.5,6,3,0.45,0.45,0.9,6.77,26.36,8.53
60x30x5,6,3,0.5,0.5,1,7.36,27.74,8.91
60x30x5.5,6,3,0.55,0.55,1.1,7.91,28.86,9.2
60x30x6,6,3,0.6,0.6,1.2,8.43,29.71,9.41
60x40x2,6,4,0.2,0.2,0.4,3.74,18.41,9.82
60x40x2.5,6,4,0.25,0.25,0.5,4.59,22.06,11.72
60x40x3,6,4,0.3,0.3,0.6,5.41,25.37,13.42
60x40x3.5,6,4,0.35,0.35,0.7,6.19,28.33,14.92
60x40x4,6,4,0.4,0.4,0.8,6.95,30.96,16.23
