,h,b,s,t,r1,r2,r3,a,a,j,j
5П,5,3.2,0.44,0.7,0.6,0.35,0,0,6.16,22.8,5.95
6.5П,6.5,3.6,0.44,0.72,0.6,0.35,0,0,7.51,48.8,9.35
8П,8,4,0.45,0.74,0.65,0.35,0,0,8.98,89.8,13.9
10П,10,4.6,0.45,0.76,0.7,0.4,0,0,10.9,175,22.6
12П,12,5.2,0.48,0.78,0.75,0.45,0,0,13.3,305,34.9
14П,14,5.8,0.49,0.81,0.8,0.45,0,0,15.6,493,51.5
16П,16,6.4,0.5,0.84,0.85,0.5,0,0,18.1,750,72.8
16aП,16,6.8,0.5,0.9,0.85,0.5,0,0,19.5,827,90.5
18П,18,7,0.51,0.87,0.9,0.5,0,0,20.7,1090,100
18aП,18,7.4,0.51,0.93,0.9,0.5,0,0,22.2,1200,123
20П,20,7.6,0.52,0.9,0.95,0.55,0,0,23.4,1530,134
22П,22,8.2,0.54,0.95,1,0.6,0,0,26.7,2120,178
24П,24,9,0.56,1,1.05,0.6,0,0,30.6,2910,248
27П,27,9.5,0.6,1.05,1.1,0.65,0,0,35.2,4180,314
30П,30,10,0.65,1.1,1.2,0.7,0,0,40.5,5830,393
33П,33,10.5,0.7,1.17,1.3,0.75,0,0,46.5,8010,491
36П,36,11,0.75,1.26,1.4,0.85,0,0,53.4,10850,611
40П,40,11.5,0.8,1.35,1.5,0.9,0,0,61.5,15260,760
