,r1,r2,a,jx,jy
10x1.0,0.5,0.4,0.2827,0.0290,0.0290
10x1.2,0.5,0.38,0.3318,0.0327,0.0327
10.2x1.0,0.51,0.41,0.2890,0.0309,0.0309
10.2x1.2,0.51,0.39,0.3393,0.0350,0.0350
12x1.0,0.6,0.5,0.3456,0.0527,0.0527
12x1.2,0.6,0.48,0.4072,0.0601,0.0601
12x1.4,0.6,0.46,0.4662,0.0666,0.0666
12x1.5,0.6,0.45,0.4948,0.0696,0.0696
12x1.6,0.6,0.44,0.5228,0.0724,0.0724
13x1.0,0.65,0.55,0.3770,0.0683,0.0683
13x1.2,0.65,0.53,0.4448,0.0782,0.0782
13x1.4,0.65,0.51,0.5102,0.0871,0.0871
13x1.5,0.65,0.5,0.5419,0.0911,0.0911
13x1.6,0.65,0.49,0.5730,0.0949,0.0949
14x1.0,0.7,0.6,0.4084,0.0868,0.0868
14x1.2,0.7,0.58,0.4825,0.0997,0.0997
14x1.4,0.7,0.56,0.5542,0.1113,0.1113
14x1.5,0.7,0.55,0.5890,0.1167,0.1167
14x1.6,0.7,0.54,0.6233,0.1218,0.1218
15x1.0,0.75,0.65,0.4398,0.1083,0.1083
15x1.2,0.75,0.63,0.5202,0.1248,0.1248
15x1.4,0.75,0.61,0.5982,0.1398,0.1398
15x1.5,0.75,0.6,0.6362,0.1467,0.1467
15x1.6,0.75,0.59,0.6736,0.1533,0.1533
16x1.0,0.8,0.7,0.4712,0.1331,0.1331
16x1.2,0.8,0.68,0.5579,0.1538,0.1538
16x1.4,0.8,0.66,0.6421,0.1727,0.1727
16x1.5,0.8,0.65,0.6833,0.1815,0.1815
16x1.6,0.8,0.64,0.7238,0.1899,0.1899
17x1.0,0.85,0.75,0.5027,0.1615,0.1615
17x1.2,0.85,0.73,0.5956,0.1869,0.1869
17x1.4,0.85,0.71,0.6861,0.2104,0.2104
17x1.5,0.85,0.7,0.7304,0.2214,0.2214
17x1.6,0.85,0.69,0.7741,0.2320,0.2320
18x1.0,0.9,0.8,0.5341,0.1936,0.1936
18x1.2,0.9,0.78,0.6333,0.2246,0.2246
18x1.4,0.9,0.76,0.7301,0.2533,0.2533
18x1.5,0.9,0.75,0.7775,0.2668,0.2668
18x1.6,0.9,0.74,0.8244,0.2798,0.2798
18x1.8,0.9,0.72,0.9161,0.3042,0.3042
19x1.0,0.95,0.85,0.5655,0.2297,0.2297
19x1.2,0.95,0.83,0.6710,0.2670,0.2670
19x1.4,0.95,0.81,0.7741,0.3016,0.3016
19x1.5,0.95,0.8,0.8247,0.3180,0.3180
19x1.6,0.95,0.79,0.8746,0.3338,0.3338
19x1.8,0.95,0.77,0.9726,0.3636,0.3636
19x2.0,0.95,0.75,1.068,0.3912,0.3912
20x1.0,1,0.9,0.5969,0.2701,0.2701
20x1.2,1,0.88,0.7087,0.3144,0.3144
20x1.4,1,0.86,0.8181,0.3558,0.3558
20x1.5,1,0.85,0.8718,0.3754,0.3754
20x1.6,1,0.84,0.9249,0.3944,0.3944
20x1.8,1,0.82,1.029,0.4303,0.4303
20x2.0,1,0.8,1.131,0.4637,0.4637
21.3x1.0,1.065,0.965,0.6377,0.3293,0.3293
21.3x1.2,1.065,0.945,0.7578,0.3840,0.3840
21.3x1.4,1.065,0.925,0.8752,0.4354,0.4354
21.3x1.5,1.065,0.915,0.9331,0.4599,0.4599
21.3x1.6,1.065,0.905,0.9902,0.4835,0.4835
21.3x1.8,1.065,0.885,1.103,0.5286,0.5286
21.3x2.0,1.065,0.865,1.213,0.5707,0.5707
22x1.0,1.1,1,0.6597,0.3645,0.3645
22x1.2,1.1,0.98,0.7841,0.4255,0.4255
22x1.4,1.1,0.96,0.9060,0.4828,0.4828
22x1.5,1.1,0.95,0.9660,0.5102,0.5102
22x1.6,1.1,0.94,1.025,0.5367,0.5367
22x1.8,1.1,0.92,1.142,0.5872,0.5872
22x2.0,1.1,0.9,1.257,0.6346,0.6346
23x1.0,1.15,1.05,0.6912,0.4190,0.4190
23x1.2,1.15,1.03,0.8218,0.4897,0.4897
23x1.4,1.15,1.01,0.9500,0.5564,0.5564
23x1.5,1.15,1,1.013,0.5883,0.5883
23x1.6,1.15,0.99,1.076,0.6192,0.6192
23x1.8,1.15,0.97,1.199,0.6784,0.6784
23x2.0,1.15,0.95,1.319,0.7340,0.7340
23x2.2,1.15,0.93,1.438,0.7861,0.7861
23x2.5,1.15,0.9,1.610,0.8584,0.8584
24x1.0,1.2,1.1,0.7226,0.4787,0.4787
24x1.2,1.2,1.08,0.8595,0.5601,0.5601
24x1.4,1.2,1.06,0.9940,0.6371,0.6371
24x1.5,1.2,1.05,1.060,0.6739,0.6739
24x1.6,1.2,1.04,1.126,0.7098,0.7098
24x1.8,1.2,1.02,1.255,0.7785,0.7785
24x2.0,1.2,1,1.382,0.8432,0.8432
