,h,b,s,r1,r2,r3,a,j,j
L36x36x3,3.6,3.6,0.3,0.4,0.7,0,2,2.51,2.51
L40x40x2.5,4,4,0.25,0.3,0.55,0,1.89,2.98,2.98
L40x40x3,4,4,0.3,0.4,0.7,0,2.24,3.5,3.5
L50x50x3,5,5,0.3,0.4,0.7,0,2.84,7.02,7.02
L50x50x4,5,5,0.4,0.6,1,0,3.7,9,9
L60x60x3,6,6,0.3,0.4,0.7,0,3.44,12.36,12.36
L60x60x4,6,6,0.4,0.6,1,0,4.5,15.96,15.96
L70x70x4,7,7,0.4,0.6,1,0,5.3,25.79,25.79
L80x80x3,8,8,0.3,0.4,0.7,0,4.64,29.96,29.96
L80x80x4,8,8,0.4,0.6,1,0,6.1,39,39
L80x80x5,8,8,0.5,0.7,1.2,0,7.55,47.7,47.7
L80x80x6,8,8,0.6,0.9,1.5,0,8.93,55.85,55.85
L80x80x7,8,8,0.7,0.9,1.6,0,10.33,63.9,63.9
L100x100x4,10,10,0.4,0.6,1,0,7.7,77.58,77.58
L100x100x5,10,10,0.5,0.7,1.2,0,9.55,95.31,95.31
L100x100x6,10,10,0.6,0.9,1.5,0,11.33,112.19,112.19
L100x100x7,10,10,0.7,0.9,1.6,0,13.13,128.84,128.84
L120x120x5,12,12,0.5,0.7,1.2,0,11.55,167.19,167.19
L120x120x6,12,12,0.6,0.9,1.5,0,13.78,197.46,197.46
