,h,b,t,r1,r2,r3,,,
L32x25x2,3.2,2.5,0.2,0.3,0.5,0,1.065,1.12,0.61
L32x25x2.5,3.2,2.5,0.25,0.3,0.55,0,1.3168,1.3619,0.7409
L50x35x3.2,5,3.5,0.32,0.5,0.82,0,2.53,6.52,2.72
L60x40x3,6,4,0.3,0.4,0.7,0,2.84,10.73,3.97
L70x50x4,7,5,0.4,0.6,1,0,4.5,22.9,10.04
L80x63x4,8,6.3,0.4,0.6,1,0,5.42,35.95,20.06
L85x35x4,8.5,3.5,0.4,0.6,1,0,4.5,34.02,3.77
L90x70x4,9,7,0.4,0.6,1,0,6.1,51.53,27.92
L100x65x4,10,6.5,0.4,0.6,1,0,6.3,66.91,23.36
L105x100x3,10.5,10,0.3,0.4,0.7,0,5.98,67.66,60.12
L115x65x5,11.5,6.5,0.5,0.7,1.2,0,8.546,120.07,29.6
L120x100x8,12,10,0.8,1.2,2,0,16.41,239.47,153.18
L180x140x6,18,14,0.6,0.9,1.5,0,18.53,632.17,343.25
