,h,b,s,t,r1,r2,a,,,
10Б1,10,5.5,0.41,0.57,0.7,0,0,10.32,171,15.9
12Б1,11.76,6.4,0.38,0.51,0.7,0,0,11.03,257,22.4
12Б2,12,6.4,0.44,0.63,0.7,0,0,13.21,318,27.7
14Б1,13.74,7.3,0.38,0.56,0.7,0,0,13.39,435,36.4
14Б2,14,7.3,0.47,0.69,0.7,0,0,16.43,541,44.9
16Б1,15.7,8.2,0.4,0.59,0.9,0,0,16.18,689,54.4
16Б2,16,8.2,0.5,0.74,0.9,0,0,20.09,869,68.3
18Б1,17.7,9.1,0.43,0.65,0.9,0,0,19.58,1063,81.9
18Б2,18,9.1,0.53,0.8,0.9,0,0,23.95,1317,100.8
20Б1,20,10,0.56,0.85,1.2,0,0,28.49,1943,142.3
23Б1,23,11,0.56,0.9,1.2,0,0,32.91,2996,200.3
26Б1,25.8,12,0.58,0.85,1.2,0,0,35.62,4024,245.6
26Б2,26.1,12,0.6,1,1.2,0,0,39.7,4654,288.8
30Б1,29.6,14,0.58,0.85,1.5,0,0,41.92,6328,390
30Б2,29.9,14,0.6,1,1.5,0,0,46.67,7293,458.6
35Б1,34.6,15.5,0.62,0.85,1.8,0,0,49.53,10060,529.6
35Б2,34.9,15.5,0.65,1,1.8,0,0,55.17,11550,622.9
40Б1,39.2,16.5,0.7,0.95,2.1,0,0,61.25,15750,714.9
40Б2,39.6,16.5,0.75,1.15,2.1,0,0,69.72,18530,865
45Б1,44.3,18,0.78,1.1,2.1,0,0,76.23,24940,1073.7
45Б2,44.7,18,0.84,1.3,2.1,0,0,85.96,28870,1269
50Б1,49.2,20,0.88,1.2,2.1,0,0,92.98,37160,1606
50Б2,49.6,20,0.92,1.4,2.1,0,0,102.8,42390,1873
55Б1,54.3,22,0.95,1.35,2.4,0,0,113.37,55680,2404
55Б2,54.7,22,1,1.55,2.4,0,0,124.75,62790,2760
60Б1,59.3,23,1.05,1.55,2.4,0,0,135.26,78760,3154
60Б2,59.7,23,1.1,1.75,2.4,0,0,147.3,87640,3561
70Б1,69.1,26,1.2,1.55,2.4,0,0,164.7,125930,4556
70Б2,69.7,26,1.25,1.85,2.4,0,0,183.6,145912,5437
80Б1,79.1,28,1.35,1.7,2.6,0,0,203.2,199500,6244
80Б2,79.8,28,1.4,2.05,2.6,0,0,226.6,232200,7527
90Б1,89.3,30,1.5,1.85,3,0,0,247.1,304400,8365
90Б2,90,30,1.55,2.2,3,0,0,272.4,349200,9943
100Б1,99,32,1.6,2.1,3,0,0,293.82,446000,11520
100Б2,99.8,32,1.7,2.5,3,0,0,328.9,516400,13710
100Б3,100.6,32,1.8,2.9,3,0,0,364,587700,15900
100Б4,101.3,32,1.95,3.25,3,0,0,400.6,655400,17830
