,h,b,s,t,r1,r2,a,,,
20К1,19.5,20,0.65,1,1.3,0,0,52.82,3820,1334
20К2,19.8,20,0.7,1.15,1.3,0,0,59.7,4422,1534
23К1,22.7,24,0.7,1.05,1.4,0,0,66.51,6589,2421
23К2,23,24,0.8,1.2,1.4,0,0,75.77,7601,2766
26К1,25.5,26,0.8,1.2,1.6,0,0,83.08,10300,3517
26К2,25.8,26,0.9,1.35,1.6,0,0,93.19,11700,3957
26К3,26.2,26,1,1.55,1.6,0,0,105.9,13560,4544
30К1,29.6,30,0.9,1.35,1.8,0,0,108,18110,6079
30К2,30,30,1,1.55,1.8,0,0,122.7,20930,6980
30К3,30.4,30,1.15,1.75,1.8,0,0,138.72,23910,7881
35К1,34.3,35,1,1.5,2,0,0,139.7,31610,10720
35К2,34.8,35,1.1,1.75,2,0,0,160.4,37090,12510
35К3,35.3,35,1.3,2,2,0,0,184.1,42970,14300
40К1,39.3,40,1.1,1.65,2.2,0,0,175.8,52400,17610
40К2,40,40,1.3,2,2.2,0,0,210.96,64140,21350
40К3,40.9,40,1.6,2.45,2.2,0,0,257.8,80040,26150
40К4,41.9,40,1.9,2.95,2.2,0,0,308.6,98340,31500
40К5,43.1,40,2.3,3.55,2.2,0,0,371,121570,37910
