,h,b,s,t,r1,r2,a,,,
24ДБ1,23.9,11.5,0.55,0.93,1.5,0,0,35.45,3535,236.8
27ДБ1,26.9,12.5,0.6,0.95,1.5,0,0,40.68,5068,310.5
36ДБ1,36,14.5,0.72,1.23,1.8,0,0,62.6,13800,627.6
35ДБ1,34.9,12.7,0.58,0.85,1.5,0,0,42.78,8540,291.5
40ДБ1,39.9,13.9,0.62,0.9,1.5,0,0,50.58,13050,404.4
45ДБ1,45,15.2,0.74,1.1,1.5,0,0,67.05,21810,646.2
45ДБ2,45,18,0.76,1.33,1.8,0,0,82.8,28840,1300
30ДШ1,30.06,20.19,0.94,1.6,1.8,0,0,92.6,15090,2200
40ДШ1,39.76,30.2,1.15,1.87,2.2,0,0,159,46330,8590
50ДШ1,49.62,30.38,1.42,2.1,2.6,0,0,198,86010,9830
