,h,b,s,t,r1,r2,a,,,
20Ш1,19.3,15,0.6,0.9,1.3,0,0,38.95,2660,507
23Ш1,22.6,15.5,0.65,1,1.4,0,0,46.08,4260,622
26Ш1,25.1,18,0.7,1,1.6,0,0,54.37,6225,974
26Ш2,25.5,18,0.75,1.2,1.6,0,0,62.73,7429,1168
30Ш1,29.1,20,0.8,1.1,1.8,0,0,68.31,10400,1470
30Ш2,29.5,20,0.85,1.3,1.8,0,0,77.65,12200,1737
30Ш3,29.9,20,0.9,1.5,1.8,0,0,87,14040,2004
35Ш1,33.8,25,0.95,1.25,2,0,0,95.67,19790,3260
35Ш2,34.1,25,1,1.4,2,0,0,104.74,22070,3650
35Ш3,34.5,25,1.05,1.6,2,0,0,116.3,25140,4170
40Ш1,38.8,30,0.95,1.4,2.2,0,0,122.4,34360,6306
40Ш2,39.2,30,1.15,1.6,2.2,0,0,141.6,39700,7209
40Ш3,39.6,30,1.25,1.8,2.2,0,0,157.2,44740,8111
50Ш1,48.4,30,1.1,1.5,2.6,0,0,145.7,60930,6762
50Ш2,48.9,30,1.45,1.75,2.6,0,0,176.6,72530,7900
50Ш3,49.5,30,1.55,2.05,2.6,0,0,199.2,84200,9250
50Ш4,50.1,30,1.65,2.35,2.6,0,0,221.7,96150,10600
60Ш1,58,32,1.2,1.7,2.8,0,0,181.1,107300,9302
60Ш2,58.7,32,1.6,2.05,2.8,0,0,225.3,131800,11230
60Ш3,59.5,32,1.8,2.45,2.8,0,0,261.8,156900,13420
60Ш4,60.3,32,2,2.85,2.8,0,0,298.34,182500,15620
70Ш1,68.3,32,1.35,1.9,3,0,0,216.4,172000,10400
70Ш2,69.1,32,1.5,2.3,3,0,0,251.7,205500,12590
70Ш3,70,32,1.8,2.75,3,0,0,299.8,247100,15070
70Ш4,70.8,32,2.05,3.15,3,0,0,341.6,284400,17270
70Ш5,71.8,32,2.3,3.65,3,0,0,389.7,330600,20020
