,h,b,t,r1,r2,a,jx,jy
40x40x2,4,4,0.2,0.2,0.4,2.94,6.94,6.94
40x40x2.5,4,4,0.25,0.25,0.5,3.59,8.21,8.21
40x40x3,4,4,0.3,0.3,0.6,4.21,9.31,9.31
40x40x3.5,4,4,0.35,0.35,0.7,4.79,10.26,10.26
40x40x4,4,4,0.4,0.4,0.8,5.35,11.05,11.05
50x50x2,5,5,0.2,0.2,0.4,3.74,14.14,14.14
50x50x2.5,5,5,0.25,0.25,0.5,4.59,16.93,16.93
50x50x3,5,5,0.3,0.3,0.6,5.41,19.45,19.45
50x50x3.5,5,5,0.35,0.35,0.7,6.19,21.7,21.7
50x50x4,5,5,0.4,0.4,0.8,6.95,23.7,23.7
50x50x4.5,5,5,0.45,0.45,0.9,7.67,25.45,25.45
50x50x5,5,5,0.5,0.5,1,8.36,26.98,26.98
50x50x5.5,5,5,0.55,0.55,1.1,9.01,28.27,28.27
50x50x6,5,5,0.6,0.6,1.2,9.63,29.36,29.36
60x60x2,6,6,0.2,0.2,0.4,4.54,25.14,25.14
60x60x2.5,6,6,0.25,0.25,0.5,5.59,30.33,30.33
60x60x3,6,6,0.3,0.3,0.6,6.61,35.11,35.11
60x60x3.5,6,6,0.35,0.35,0.7,7.59,39.5,39.5
60x60x4,6,6,0.4,0.4,0.8,8.55,43.5,43.5
60x60x4.5,6,6,0.45,0.45,0.9,9.47,47.14,47.14
60x60x5,6,6,0.5,0.5,1,10.36,50.41,50.41
60x60x5.5,6,6,0.55,0.55,1.1,11.21,53.34,53.34
60x60x6,6,6,0.6,0.6,1.2,12.03,55.94,55.94
70x70x2,7,7,0.2,0.2,0.4,5.34,40.72,40.72
70x70x2.5,7,7,0.25,0.25,0.5,6.59,49.39,49.39
70x70x3,7,7,0.3,0.3,0.6,7.81,57.5,57.5
70x70x3.5,7,7,0.35,0.35,0.7,8.99,65.05,65.05
70x70x4,7,7,0.4,0.4,0.8,10.15,72.06,72.06
70x70x4.5,7,7,0.45,0.45,0.9,11.27,78.55,78.55
70x70x5,7,7,0.5,0.5,1,12.36,84.52,84.52
70x70x5.5,7,7,0.55,0.55,1.1,13.41,90.01,90.01
70x70x6,7,7,0.6,0.6,1.2,14.43,95.01,95.01
70x70x6.5,7,7,0.65,0.975,1.625,15.06,95.11,95.11
70x70x7,7,7,0.7,1.05,1.75,15.96,98.5,98.5
80x80x3,8,8,0.3,0.3,0.6,9.01,87.81,87.81
80x80x3.5,8,8,0.35,0.35,0.7,10.39,99.75,99.75
80x80x4,8,8,0.4,0.4,0.8,11.75,111,111
80x80x4.5,8,8,0.45,0.45,0.9,13.07,121.5,121.5
80x80x5,8,8,0.5,0.5,1,14.36,131.3,131.3
80x80x5.5,8,8,0.55,0.55,1.1,15.61,140.5,140.5
