,h,b,s,t,r1,r2,a,A,Iy,Iz
10,10,5.5,0.45,0.72,0.7,0.25,0.119428926,12,198,17.9
12,12,6.4,0.48,0.73,0.75,0.3,0.119428926,14.7,350,27.9
14,14,7.3,0.49,0.75,0.8,0.3,0.119428926,17.4,572,41.9
16,16,8.1,0.5,0.78,0.85,0.35,0.119428926,20.2,873,58.6
18,18,9,0.51,0.81,0.9,0.35,0.119428926,23.4,1290,82.6
20,20,10,0.52,0.84,0.95,0.4,0.119428926,26.8,1840,115
22,22,11,0.54,0.87,1,0.4,0.119428926,30.6,2550,157
24,24,11.5,0.56,0.95,1.05,0.4,0.119428926,34.8,3460,198
27,27,12.5,0.6,0.98,1.1,0.45,0.119428926,40.2,5010,260
30,30,13.5,0.65,1.02,1.2,0.5,0.119428926,46.5,7080,337
33,33,14,0.7,1.12,1.3,0.5,0.119428926,53.8,9839.999,419
36,36,14.5,0.75,1.23,1.4,0.6,0.119428926,61.9,13379.999,516
40,40,15.5,0.83,1.3,1.5,0.6,0.119428926,72.6,19061.998,667
45,45,16,0.9,1.42,1.6,0.7,0.119428926,84.7,27695.998,808
50,50,17,1,1.52,1.7,0.7,0.119428926,100,39726.996,1043
55,55,18,1.1,1.65,1.8,0.7,0.119428926,118,55961.992,1356
60,60,19,1.2,1.78,2,0.8,0.119428926,138,76805.992,1725
