,h,b,s,t,r1,r2,r3,a,,,
Шв. гн.25x26x2,2.5,2.6,0.2,0.2,0.3,0,0.5,0,1.39,1.43,0.96
Шв. гн.25x30x2,2.5,3,0.2,0.2,0.3,0,0.5,0,1.55,1.64,1.42
Шв. гн.28x27x2.5,2.8,2.7,0.25,0.25,0.4,0,0.65,0,1.81,2.24,1.32
Шв. гн.30x25x3,3,2.5,0.3,0.3,0.5,0,0.8,0,2.05,2.73,1.24
Шв. гн.30x30x2,3,3,0.2,0.2,0.3,0,0.5,0,1.65,2.5,1.53
Шв. гн.32x25x3,3.2,2.5,0.3,0.3,0.5,0,0.8,0,2.11,3.2,1.28
Шв. гн.32x32x2,3.2,3.2,0.2,0.2,0.3,0,0.5,0,1.77,3.08,1.88
Шв. гн.38x95x2.5,3.8,9.5,0.25,0.25,0.3,0,0.55,0,5.48,15.42,49.26
Шв. гн.40x20x2,4,2,0.2,0.2,0.3,0,0.5,0,1.45,3.4,0.55494
Шв. гн.40x20x3,4,2,0.3,0.3,0.5,0,0.8,0,2.05,4.45,0.75
Шв. гн.40x30x2,4,3,0.2,0.2,0.3,0,0.5,0,1.85,4.85,1.72
Шв. гн.40x30x2.5,4,3,0.25,0.25,0.3,0,0.55,0,2.28,5.83,2.09
Шв. гн.40x40x2,4,4,0.2,0.2,0.3,0,0.5,0,2.25,6.29,3.79
Шв. гн.40x40x2.5,4,4,0.25,0.25,0.3,0,0.55,0,2.78,7.58,4.63
Шв. гн.40x40x3,4,4,0.3,0.3,0.5,0,0.8,0,3.25,8.57,5.31
Шв. гн.42x42x4,4.2,4.2,0.4,0.4,0.6,0,1,0,4.45,12.34,7.8
Шв. гн.43x45x2,4.3,4.5,0.2,0.2,0.3,0,0.5,0,2.51,8.25,5.38
Шв. гн.45x25x3,4.5,2.5,0.3,0.3,0.5,0,0.8,0,2.5,7.29,1.49
Шв. гн.45x31x2,4.5,3.1,0.2,0.2,0.3,0,0.5,0,1.99,6.55,1.97
Шв. гн.48x70x5,4.8,7,0.5,0.5,0.7,0,1.2,0,8.49,32.6,41.22
Шв. гн.50x30x2,5,3,0.2,0.2,0.3,0,0.5,0,2.05,8.12,1.87
Шв. гн.50x30x2.5,5,3,0.25,0.25,0.3,0,0.55,0,2.53,9.82,2.28
Шв. гн.50x32x2.5,5,3.2,0.25,0.25,0.3,0,0.55,0,2.63,10.38,2.72
Шв. гн.50x40x2,5,4,0.2,0.2,0.3,0,0.5,0,2.45,10.42,4.13
Шв. гн.50x40x2.5,5,4,0.25,0.25,0.3,0,0.55,0,3.03,12.64,5.05
