,h,b,t,r1,r2,r3,F,Ix. см4,Ix. см4
L20x20x3,2,2,0.3,0.35,0,0.12,1.13,0.4,0.4
L20x20x4,2,2,0.4,0.35,0,0.12,1.46,0.5,0.5
L25x25x3,2.5,2.5,0.3,0.35,0,0.12,1.43,0.81,0.81
L25x25x4,2.5,2.5,0.4,0.35,0,0.12,1.86,1.03,1.03
L28x28x3,2.8,2.8,0.3,0.4,0,0.13,1.62,1.16,1.16
L30x30x3,3,3,0.3,0.4,0,0.13,1.74,1.45,1.45
L30x30x4,3,3,0.4,0.4,0,0.13,2.27,1.84,1.84
L32x32x3,3.2,3.2,0.3,0.45,0,0.15,1.86,1.77,1.77
L32x32x4,3.2,3.2,0.4,0.45,0,0.15,2.43,2.26,2.26
L35x35x3,3.5,3.5,0.3,0.45,0,0.15,2.04,2.35,2.35
L35x35x4,3.5,3.5,0.4,0.45,0,0.15,2.67,3.01,3.01
L35x35x5,3.5,3.5,0.5,0.45,0,0.15,3.28,3.61,3.61
L40x40x3,4,4,0.3,0.5,0,0.17,2.35,3.55,3.55
L40x40x4,4,4,0.4,0.5,0,0.17,3.08,4.58,4.58
L40x40x5,4,4,0.5,0.5,0,0.17,3.79,5.53,5.53
L45x45x3,4.5,4.5,0.3,0.5,0,0.17,2.65,5.13,5.13
L45x45x4,4.5,4.5,0.4,0.5,0,0.17,3.48,6.63,6.63
L45x45x5,4.5,4.5,0.5,0.5,0,0.17,4.29,8.03,8.03
L50x50x3,5,5,0.3,0.55,0,0.18,2.96,7.11,7.11
L50x50x4,5,5,0.4,0.55,0,0.18,3.89,9.21,9.21
L50x50x5,5,5,0.5,0.55,0,0.18,4.8,11.2,11.2
L50x50x6,5,5,0.6,0.55,0,0.18,5.69,13.07,13.07
L56x56x4,5.6,5.6,0.4,0.6,0,0.2,4.38,13.1,13.1
L56x56x5,5.6,5.6,0.5,0.6,0,0.2,5.41,15.97,15.97
L63x63x4,6.3,6.3,0.4,0.7,0,0.23,4.96,18.86,18.86
L63x63x5,6.3,6.3,0.5,0.7,0,0.23,6.13,23.1,23.1
L63x63x6,6.3,6.3,0.6,0.7,0,0.23,7.28,27.06,27.06
L70x70x4.5,7,7,0.45,0.8,0,0.27,6.2,29.04,29.04
L70x70x5,7,7,0.5,0.8,0,0.27,6.86,31.94,31.94
L70x70x6,7,7,0.6,0.8,0,0.27,8.15,37.58,37.58
L70x70x7,7,7,0.7,0.8,0,0.27,9.42,42.98,42.98
L70x70x8,7,7,0.8,0.8,0,0.27,10.67,48.16,48.16
L75x75x5,7.5,7.5,0.5,0.9,0,0.3,7.39,39.53,39.53
L75x75x6,7.5,7.5,0.6,0.9,0,0.3,8.78,46.57,46.57
L75x75x7,7.5,7.5,0.7,0.9,0,0.3,10.15,53.34,53.34
L75x75x8,7.5,7.5,0.8,0.9,0,0.3,11.5,59.84,59.84
L75x75x9,7.5,7.5,0.9,0.9,0,0.3,12.83,66.1,66.1
L80x80x5.5,8,8,0.55,0.9,0,0.3,8.63,52.68,52.68
L80x80x6,8,8,0.6,0.9,0,0.3,9.38,56.97,56.97
L80x80x7,8,8,0.7,0.9,0,0.3,10.85,65.31,65.31
L80x80x8,8,8,0.8,0.9,0,0.3,12.3,73.36,73.36
L90x90x6,9,9,0.6,1,0,0.33,10.61,82.1,82.1
L90x90x7,9,9,0.7,1,0,0.33,12.28,94.3,94.3
L90x90x8,9,9,0.8,1,0,0.33,13.93,106.11,106.11
L90x90x9,9,9,0.9,1,0,0.33,15.6,118,118
L100x100x6.5,10,10,0.65,1.2,0,0.4,12.82,122.1,122.1
L100x100x7,10,10,0.7,1.2,0,0.4,13.75,130.59,130.59
L100x100x8,10,10,0.8,1.2,0,0.4,15.6,147.19,147.19
L100x100x10,10,10,1,1.2,0,0.4,19.24,178.95,178.95
L100x100x12,10,10,1.2,1.2,0,0.4,22.8,208.9,208.9
L100x100x14,10,10,1.4,1.2,0,0.4,26.28,237.15,237.15
L100x100x16,10,10,1.6,1.2,0,0.4,29.68,263.82,263.82
L110x110x7,11,11,0.7,1.2,0,0.4,15.15,175.61,175.61
L110x110x8,11,11,0.8,1.2,0,0.4,17.2,198.17,198.17
