,h,b,t,r1,r2,r3,a,j,j
L25x16x3,2.5,1.6,0.3,0.35,0,0.12,1.16,0.7,0.22
L30x20x3*,3,2,0.3,0.35,0,0.12,1.43,1.27,0.45
L30x20x4*,3,2,0.4,0.35,0,0.12,1.86,1.61,0.565
L32x20x3,3.2,2,0.3,0.35,0,0.12,1.49,1.52,0.4566
L32x20x4,3.2,2,0.4,0.35,0,0.12,1.94,1.9335,0.57396
L40x25x3,4,2.5,0.3,0.4,0,0.13,1.89,3.06,0.93
L40x25x4,4,2.5,0.4,0.4,0,0.13,2.47,3.93,1.18
L40x25x5,4,2.5,0.5,0.4,0,0.13,3.03,4.73,1.41
L40x30x4*,4,3,0.4,0.4,0,0.13,2.67,4.18,2.01
L40x30x5*,4,3,0.5,0.4,0,0.13,3.28,5.04,2.41
L45x28x3,4.5,2.8,0.3,0.5,0,0.17,2.14,4.41,1.32
L45x28x4,4.5,2.8,0.4,0.5,0,0.17,2.8,5.68,1.69
L50x32x3,5,3.2,0.3,0.55,0,0.18,2.42,6.18,1.99
L50x32x4,5,3.2,0.4,0.55,0,0.18,3.17,7.98,2.56
L56x36x4,5.6,3.6,0.4,0.6,0,0.2,3.58,11.37,3.7
L56x36x5,5.6,3.6,0.5,0.6,0,0.2,4.41,13.82,4.48
L63x40x4,6.3,4,0.4,0.7,0,0.23,4.04,16.33,5.16
L63x40x5,6.3,4,0.5,0.7,0,0.23,4.98,19.91,6.26
L63x40x6,6.3,4,0.6,0.7,0,0.23,5.9,23.31,7.29
L63x40x8,6.3,4,0.8,0.7,0,0.23,7.68,29.6,9.15
L65x50x5*,6.5,5,0.5,0.6,0,0.2,5.56,23.41,12.08
L65x50x6*,6.5,5,0.6,0.6,0,0.2,6.6,27.46,14.12
L65x50x7*,6.5,5,0.7,0.6,0,0.2,7.62,31.32,16.05
L65x50x8*,6.5,5,0.8,0.6,0,0.2,8.62,35,17.88
L70x45x5,7,4.5,0.5,0.75,0,0.25,5.59,27.76,9.05
L75x50x5,7.5,5,0.5,0.8,0,0.27,6.11,34.81,12.47
L75x50x6,7.5,5,0.6,0.8,0,0.27,7.25,40.92,14.6
L75x50x7*,7.5,5,0.7,0.8,0,0.27,8.37,46.77,16.61
L75x50x8,7.5,5,0.8,0.8,0,0.27,9.47,52.38,18.52
L80x50x5,8,5,0.5,0.8,0,0.27,6.36,41.64,12.68
L80x50x6,8,5,0.6,0.8,0,0.27,7.55,48.98,14.85
L80x60x6*,8,6,0.6,0.8,0,0.27,8.15,52.06,25.18
L80x60x7*,8,6,0.7,0.8,0,0.27,9.42,59.61,28.74
L80x60x8*,8,6,0.8,0.8,0,0.27,10.67,66.88,32.15
L90x56x5.5,9,5.6,0.55,0.9,0,0.3,7.86,65.28,19.67
L90x56x6,9,5.6,0.6,0.9,0,0.3,8.54,70.58,21.22
L90x56x8,9,5.6,0.8,0.9,0,0.3,11.18,90.87,27.08
L100x63x6,10,6.3,0.6,1,0,0.33,9.58,98.29,30.58
L100x63x7,10,6.3,0.7,1,0,0.33,11.09,112.86,34.99
L100x63x8,10,6.3,0.8,1,0,0.33,12.57,126.96,39.21
L100x63x10,10,6.3,1,1,0,0.33,15.47,153.95,47.18
L100x65x7*,10,6.5,0.7,1,0,0.33,11.23,114.05,38.32
L100x65x8*,10,6.5,0.8,1,0,0.33,12.73,128.31,42.96
L100x65x10*,10,6.5,1,1,0,0.33,15.67,155.52,51.68
L110x70x6.5,11,7,0.65,1,0,0.33,11.45,142.42,45.61
L110x70x8,11,7,0.8,1,0,0.33,13.93,171.54,54.64
L125x80x7,12.5,8,0.7,1.1,0,0.37,14.06,226.53,73.73
L125x80x8,12.5,8,0.8,1.1,0,0.37,15.98,255.62,82.95
L125x80x10,12.5,8,1,1.1,0,0.37,19.7,311.61,100.47
L125x80x12,12.5,8,1.2,1.1,0,0.37,23.36,364.79,116.84
L140x90x8,14,9,0.8,1.2,0,0.4,18,363.68,119.79
L140x90x10,14,9,1,1.2,0,0.4,22.24,444.45,145.54
L160x100x9,16,10,0.9,1.3,0,0.43,22.87,605.97,186.03
L160x100x10,16,10,1,1.3,0,0.43,25.28,666.59,204.09
L160x100x12,16,10,1.2,1.3,0,0.43,30.04,784.22,238.75
L160x100x14,16,10,1.4,1.3,0,0.43,34.72,897.19,271.6
L180x110x10,18,11,1,1.4,0,0.47,28.33,952.28,276.37
L180x110x12,18,11,1.2,1.4,0,0.47,33.69,1122.56,324.09
L200x125x11,20,12.5,1.1,1.4,0,0.47,34.87,1449.02,446.36
L200x125x12,20,12.5,1.2,1.4,0,0.47,37.89,1568.19,481.93
L200x125x14,20,12.5,1.4,1.4,0,0.47,43.87,1800.83,550.77
L200x125x16,20,12.5,1.6,1.4,0,0.47,49.77,2026.08,616.66
