,r1,r2,a,jx,jy
25x2.5,1.25,1.0000,1.77,1.13,1.13
25x2.8,1.25,0.97,1.95,1.22,1.22
25x3,1.25,0.95,2.07,1.28,1.28
25x3.5,1.25,0.9,2.36,1.40,1.40
25x4,1.25,0.85,2.64,1.51,1.51
25x4.5,1.25,0.8,2.90,1.60,1.60
25x5,1.25,0.75,3.14,1.67,1.67
25x5.5,1.25,0.7,3.37,1.73,1.73
25x6,1.25,0.65,3.58,1.78,1.78
25x6.5,1.25,0.6,3.78,1.82,1.82
25x7,1.25,0.55,3.96,1.85,1.85
25x7.5,1.25,0.5,4.12,1.87,1.87
25x8,1.25,0.45,4.27,1.89,1.89
28x2.5,1.4,1.15,2.00,1.64,1.64
28x2.8,1.4,1.12,2.22,1.78,1.78
28x3,1.4,1.1,2.36,1.87,1.87
28x3.5,1.4,1.05,2.69,2.06,2.06
28x4,1.4,1,3.02,2.23,2.23
28x4.5,1.4,0.95,3.32,2.38,2.38
28x5,1.4,0.9,3.61,2.50,2.50
28x5.5,1.4,0.85,3.89,2.61,2.61
28x6,1.4,0.8,4.15,2.70,2.70
28x6.5,1.4,0.75,4.39,2.77,2.77
28x7,1.4,0.7,4.62,2.83,2.83
28x7.5,1.4,0.65,4.83,2.88,2.88
28x8,1.4,0.6,5.03,2.92,2.92
32x2.5,1.6,1.35,2.32,2.54,2.54
32x2.8,1.6,1.32,2.57,2.76,2.76
32x3,1.6,1.3,2.73,2.90,2.90
32x3.5,1.6,1.25,3.13,3.23,3.23
32x4,1.6,1.2,3.52,3.52,3.52
32x4.5,1.6,1.15,3.89,3.77,3.77
32x5,1.6,1.1,4.24,4.00,4.00
32x5.5,1.6,1.05,4.58,4.19,4.19
32x6,1.6,1,4.90,4.36,4.36
32x6.5,1.6,0.95,5.21,4.51,4.51
32x7,1.6,0.9,5.50,4.63,4.63
32x7.5,1.6,0.85,5.77,4.74,4.74
32x8,1.6,0.8,6.03,4.83,4.83
38x2.5,1.9,1.65,2.79,4.41,4.41
38x2.8,1.9,1.62,3.10,4.83,4.83
38x3,1.9,1.6,3.30,5.09,5.09
38x3.5,1.9,1.55,3.79,5.70,5.70
38x4,1.9,1.5,4.27,6.26,6.26
38x4.5,1.9,1.45,4.74,6.76,6.76
38x5,1.9,1.4,5.18,7.22,7.22
