,h,b,s,t,r1,r2,a,A,J,J
10 Б1,10,5.5,0.41,0.57,0.7,0,0,10.32,171,15.9
12 Б1,11.76,6.4,0.38,0.51,0.7,0,0,11.03,257,22.4
12 Б2,12,6.4,0.44,0.63,0.7,0,0,13.21,318,27.7
14 Б1,13.74,7.3,0.38,0.56,0.7,0,0,13.39,435,36.4
14 Б2,14,7.3,0.47,0.69,0.7,0,0,16.43,541,44.9
16 Б1,15.7,8.2,0.4,0.59,0.9,0,0,16.18,689,54.4
16 Б2,16,8.2,0.5,0.74,0.9,0,0,20.09,869,68.3
18 Б1,17.7,9.1,0.43,0.65,0.9,0,0,19.58,1063,81.9
18 Б2,18,9.1,0.53,0.8,0.9,0,0,23.95,1317,100.8
20 Б1,20,10,0.55,0.8,1.1,0,0,27.16,1844,133.9
25 Б1,24.8,12.4,0.5,0.8,1.2,0,0,32.68,3537,254.8
25 Б2,25,12.5,0.6,0.9,1.2,0,0,37.66,4052,293.8
30 Б1,29.8,14.9,0.55,0.8,1.3,0,0,40.8,6319,441.9
30 Б2,30,15,0.65,0.9,1.3,0,0,46.78,7210,507.4
35 Б1,34.6,17.4,0.6,0.9,1.4,0,0,52.68,11095,791.4
35 Б2,35,17.5,0.7,1.1,1.4,0,0,63.14,13560,984.2
40 Б1,39.6,19.9,0.7,1.1,1.6,0,0,72.16,20020,1446.9
40 Б2,40,20,0.8,1.3,1.6,0,0,84.12,23706,1736.2
45 Б1,44.6,19.9,0.8,1.2,1.8,0,0,84.3,28699,1579.7
45 Б2,45,20,0.9,1.4,1.8,0,0,96.76,33453,1871.3
50 Б1,49.2,19.9,0.88,1.2,2,0,0,92.38,36845,1581.5
50 Б2,49.6,19.9,0.9,1.4,2,0,0,101.27,41872,1844.4
50 Б3,50,20,1,1.6,2,0,0,114.23,47849,2140.3
55 Б1,54.3,22,0.95,1.35,2.4,0,0,113.36,55682,2404.5
55 Б2,54.7,22,1,1.55,2.4,0,0,124.75,62790,2760.3
60 Б1,59.6,19.9,1,1.5,2.2,0,0,120.45,68721,1979
60 Б2,60,20,1.1,1.7,2.2,0,0,134.41,77638,2277.5
70 Б0,69.3,23,1.18,1.52,2.4,0,0,153.05,114187,3097.7
70 Б1,69.1,26,1.2,1.55,2.4,0,0,164.74,125931,4556.4
70 Б2,69.7,26,1.25,1.85,2.4,0,0,183.64,145913,5436.7
