,h,b,s,t,r1,r2,a,A,J,J
20 К1,19.6,19.9,0.65,1,1.3,0,0,52.69,3846,1314.4
20 К2,20,20,0.8,1.2,1.3,0,0,63.53,4716,1601.4
25 К1,24.6,24.9,0.8,1.2,1.6,0,0,79.72,9171,3089.9
25 К2,25,25,0.9,1.4,1.6,0,0,92.18,10833,3648.6
25 К3,25.3,25.1,1,1.55,1.6,0,0,102.21,12154,4088.6
30 К1,29.8,29.9,0.9,1.4,1.8,0,0,110.8,18849,6240.9
30 К2,30,30,1,1.5,1.8,0,0,119.78,20411,6754.5
30 К3,30,30.5,1.5,1.5,1.8,0,0,134.78,21536,7104.4
30 К4,30.4,30.1,1.1,1.7,1.8,0,0,134.82,23381,7732.3
35 К1,34.2,34.8,1,1.5,2,0,0,139.03,31249,10541.7
35 К2,35,35,1.2,1.9,2,0,0,173.87,40296,13585.3
40 К1,39.4,39.8,1.1,1.8,2.2,0,0,186.81,56147,18921.9
40 К2,40,40,1.3,2.1,2.2,0,0,218.69,66623,22412
40 К3,40.6,40.3,1.6,2.4,2.2,0,0,254.87,78041,26199.5
40 К4,41.4,40.5,1.8,2.8,2.2,0,0,295.39,92773,31026.2
40 К5,42.9,40,2.3,3.55,2.2,0,0,370.49,120292,37914.2
