,t1,t2,ryn,run,ry,ru
C235,2,8,235,360,230,350
C245,2,20,245,370,240,360
C245,21,30,235,370,230,360
C255,2,20,245,370,240,360
C255,21,40,235,370,230,360
C285,2,10,275,390,270,380
C285,11,20,265,380,260,370
C345,2,20,325,470,320,460
C345,21,40,305,460,300,450
C345,41,80,285,450,280,440
C345,81,100,265,430,260,420
C345K,4,10,345,470,335,460
C375,2,20,355,490,345,480
C375,21,40,335,480,325,470
C390,4,50,390,540,380,525
C440,4,30,440,590,430,575
C440,31,50,410,570,400,555
C590,10,40,590,685,575,670
C590K,10,40,590,685,575,670
