,t1,t2,ryn,run,ry,ru
C235,2,20,235,360,230,350
C235,21,40,225,360,220,350
C245,2,20,245,370,240,360
C245,21,30,235,370,230,360
C255,4,10,255,380,250,370
C255,11,20,245,370,240,360
C255,21,40,235,370,230,360
C275,2,10,275,390,270,380
C275,11,20,275,380,270,370
C285,4,10,285,400,280,390
C285,11,20,275,380,270,380
C345,2,10,345,490,335,480
C345,11,20,325,470,315,460
C345,21,40,305,460,300,450
C345K,4,10,345,470,335,460
C375,2,20,375,510,365,500
C375,11,20,355,490,345,450
C375,21,40,335,480,325,470
