,t1,t2,ryn,run,ry,ru
C235,2,20,235,360,230,350
C235,20.1,40,225,360,220,350
C235,40.1,100,215,360,210,350
C235,100.1,500,195,360,190,350
C245,2,20,245,370,240,360
C255,2,3,255,380,250,370
C255,3.1,10,245,380,240,370
C255,10.1,20,245,370,240,360
C255,20.1,40,235,370,230,360
C275,2,10,275,380,270,370
C275,10.1,20,265,370,260,360
C285,2,3,285,390,280,380
C285,3.1,10,275,390,270,380
C285,10.1,20,265,380,260,370
C345,2,10,345,490,335,480
C345,10.1,20,325,470,315,460
C345,20.1,40,305,460,300,450
C345,40.1,60,285,450,280,440
C345,60.1,80,275,440,270,430
C345,80.1,160,265,430,260,420
C345K,4,10,345,470,335,460
C375,2,10,375,510,365,500
C375,10.1,20,335,490,345,480
C375,20.1,40,335,480,325,470
